generic,genus,genus_ref,genus_type,genus_type_ref,genus_syn,genus_syn_ref,genus_new_syn,subgenus,subgenus_ref,subgenus_type,subgenus_type_ref
Menacanthus,Menacanthus,,Menopon fertilis,"Eichler, 1986:45 ",Upupacanthus,,New Syn,,,,
Myrsidea,Myrsidea,,Liotheum cucullare,"Z{l-}otorzycka, 1964a:172 ",Vulgidea,"Clay, 1966c:330",,,,,
Colpocephalum,Colpocephalum,,Colpocephalum kelloggi,"Eichler & Z{l-}otorzycka, 1963c:205 ",Vulturigogus,"Price & Emerson, 1966b:430",,,,,
Falcophilus,Falcophilus,,Menopon alternatum,"Eichler, 1948c:251 ",Vulturiphilus,"Hopkins & Clay, 1952:361",,,,,
Myrsidea,Myrsidea,,Menopon cornicis,"Z{l-}otorzycka, 1973a:51 ",Wolfdietrichia,"Ledger, 1980:61",,,,,
Menacanthus,Menacanthus,,Zemiodes zumpti,"Eichler, 1944e:172 ",Zemiodes,"Emerson, 1972b:75",,,,,
Neophilopterus,Neophilopterus,,Abumarkub koenigi,"Eichler, 1959b:64 ",Abumarkub,"Emerson, 1972a:99",,,,,
Acidoproctus,Acidoproctus,"Piaget, 1878:178",Acidoproctus marginatus,Piaget,,,,,,,
Brueelia,Brueelia,,Acronirmus buettikeri,"Eichler, 1953g:338 ",Acronirmus,,New Syn,,,,
Acutifrons,Acutifrons,"Guimarães, 1942c:235",Acutifrons vieirai,Guimarães,,,,,,,
Aegypoecus,Aegypoecus,"Clay & Meinertzhagen, 1939a:36",Helluo neophron,Clay & Meinertzhagen,,,,,,,
Acidoproctus,Acidoproctus,,Akidoproctus marginatus,"Piaget, 1880:208 ",Akidoproctus,"Hopkins & Clay, 1952:25",,,,,
Penenirmus,Penenirmus,,Penenirmus pavlovskyi,"Z{l-}otorzycka, 1964b:273 ",Alaudinirmus,"Emerson, 1972a:111",,,,,
Alcedoecus,Alcedoecus,"Clay & Meinertzhagen, 1939b:162",Philopterus capistratus,Neumann,,,,,,,
Alcedoffula,Alcedoffula,"Clay & Meinertzhagen, 1939b:161",Docophorus alcedinis,Denny,,,,,,,
Brueelia,Brueelia,,Allobrueelia amsel,"Eichler, 1951c:36 ",Allobrueelia,"Hopkins & Clay, 1953:434",,,,,
Brueelia,Brueelia,,Nirmus tristis,"Z{l-}otorzycka, 1964b:263 ",Allonirmus,"Ledger, 1980:41",,,,,
Auricotes,Auricotes,,Altericornu coloceroides,"Tendeiro, 1969g:506 ",Altericornu,,New Syn,,,,
Anamias,Halipeurus,"Timmer., 1965:155",,,,,,Anamias,"Timmer., 1965:155 ",Halipeurus raphanus,Timmer.
